type,value,module,scan_id,target,timestamp
INTERNET_NAME,autoconfig.zeroshield.ai,sfp_subdomain,spiderfoot-dc8a54f2-ca3a-44c1-abb3-8f2822b5e229,zeroshield.ai,2025-12-01T11:01:28.318011
IP_ADDRESS,104.21.27.150,sfp_dnsresolve,spiderfoot-dc8a54f2-ca3a-44c1-abb3-8f2822b5e229,zeroshield.ai,2025-12-01T11:01:28.318011
INTERNET_NAME,autodiscover.zeroshield.ai,sfp_subdomain,spiderfoot-dc8a54f2-ca3a-44c1-abb3-8f2822b5e229,zeroshield.ai,2025-12-01T11:01:28.318011
IP_ADDRESS,40.104.66.232,sfp_dnsresolve,spiderfoot-dc8a54f2-ca3a-44c1-abb3-8f2822b5e229,zeroshield.ai,2025-12-01T11:01:28.318011
INTERNET_NAME,complianceshield.zeroshield.ai,sfp_subdomain,spiderfoot-dc8a54f2-ca3a-44c1-abb3-8f2822b5e229,zeroshield.ai,2025-12-01T11:01:28.318011
INTERNET_NAME,complianceshieldbackend.zeroshield.ai,sfp_subdomain,spiderfoot-dc8a54f2-ca3a-44c1-abb3-8f2822b5e229,zeroshield.ai,2025-12-01T11:01:28.318011
INTERNET_NAME,threatshield.zeroshield.ai,sfp_subdomain,spiderfoot-dc8a54f2-ca3a-44c1-abb3-8f2822b5e229,zeroshield.ai,2025-12-01T11:01:28.318011
INTERNET_NAME,threatshieldbackend.zeroshield.ai,sfp_subdomain,spiderfoot-dc8a54f2-ca3a-44c1-abb3-8f2822b5e229,zeroshield.ai,2025-12-01T11:01:28.318011
INTERNET_NAME,www.zeroshield.ai,sfp_subdomain,spiderfoot-dc8a54f2-ca3a-44c1-abb3-8f2822b5e229,zeroshield.ai,2025-12-01T11:01:28.318011
IP_ADDRESS,172.67.142.243,sfp_dnsresolve,spiderfoot-dc8a54f2-ca3a-44c1-abb3-8f2822b5e229,zeroshield.ai,2025-12-01T11:01:28.318011
INTERNET_NAME,zeroshield.ai,sfp_subdomain,spiderfoot-dc8a54f2-ca3a-44c1-abb3-8f2822b5e229,zeroshield.ai,2025-12-01T11:01:28.318011
