scan_id,domain,hostname,ip,port,service_name,service_version,protocol,subdomain,vulnerability_name,vulnerability_severity,vulnerability_cve,timestamp
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,autodiscover.zeroshield.ai,40.99.9.40,443,https,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,autodiscover.zeroshield.ai,40.99.9.40,993,imaps,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,autodiscover.zeroshield.ai,40.99.9.40,995,pop3s,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,autodiscover.zeroshield.ai,40.99.9.40,3306,mysql,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,autodiscover.zeroshield.ai,40.99.9.40,3389,ms-wbt-server,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,autodiscover.zeroshield.ai,40.99.9.40,5432,postgresql,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,autodiscover.zeroshield.ai,40.99.9.40,8080,http-proxy,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,21,ftp,unknown,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,22,ssh,unknown,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,25,smtp,unknown,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.797619
