scan_id,domain,hostname,ip,port,service_name,service_version,protocol,subdomain,vulnerability_name,vulnerability_severity,vulnerability_cve,timestamp
scan-a7f3edde-6ea4-4935-81bd-96895667229b,youtube.com,o-o.preferred.lga15s20.v21.lscache1.c.youtube.com,,,,,,o-o.preferred.lga15s20.v21.lscache1.c.youtube.com,,,,2025-12-05T11:12:03.946022
scan-a7f3edde-6ea4-4935-81bd-96895667229b,youtube.com,o-o.preferred.lga15s20.v21.lscache3.c.youtube.com,,,,,,o-o.preferred.lga15s20.v21.lscache3.c.youtube.com,,,,2025-12-05T11:12:03.946022
scan-a7f3edde-6ea4-4935-81bd-96895667229b,youtube.com,o-o.preferred.lga15s20.v24.lscache3.c.youtube.com,,,,,,o-o.preferred.lga15s20.v24.lscache3.c.youtube.com,,,,2025-12-05T11:12:03.946022
scan-a7f3edde-6ea4-4935-81bd-96895667229b,youtube.com,o-o.preferred.lga15s20.v24.lscache4.c.youtube.com,,,,,,o-o.preferred.lga15s20.v24.lscache4.c.youtube.com,,,,2025-12-05T11:12:03.946022
scan-a7f3edde-6ea4-4935-81bd-96895667229b,youtube.com,o-o.preferred.lga15s20.v3.lscache4.c.youtube.com,,,,,,o-o.preferred.lga15s20.v3.lscache4.c.youtube.com,,,,2025-12-05T11:12:03.946022
scan-a7f3edde-6ea4-4935-81bd-96895667229b,youtube.com,o-o.preferred.lga15s20.v4.lscache2.c.youtube.com,,,,,,o-o.preferred.lga15s20.v4.lscache2.c.youtube.com,,,,2025-12-05T11:12:03.946022
scan-a7f3edde-6ea4-4935-81bd-96895667229b,youtube.com,o-o.preferred.lga15s20.v6.lscache5.c.youtube.com,,,,,,o-o.preferred.lga15s20.v6.lscache5.c.youtube.com,,,,2025-12-05T11:12:03.946022
scan-a7f3edde-6ea4-4935-81bd-96895667229b,youtube.com,o-o.preferred.lga15s20.v7.lscache7.c.youtube.com,,,,,,o-o.preferred.lga15s20.v7.lscache7.c.youtube.com,,,,2025-12-05T11:12:03.946022
scan-a7f3edde-6ea4-4935-81bd-96895667229b,youtube.com,o-o.preferred.lhr07s13.v10.lscache1.c.youtube.com,,,,,,o-o.preferred.lhr07s13.v10.lscache1.c.youtube.com,,,,2025-12-05T11:12:03.946022
scan-a7f3edde-6ea4-4935-81bd-96895667229b,youtube.com,o-o.preferred.lhr14s07.v18.lscache5.c.youtube.com,,,,,,o-o.preferred.lhr14s07.v18.lscache5.c.youtube.com,,,,2025-12-05T11:12:03.946022
scan-a7f3edde-6ea4-4935-81bd-96895667229b,youtube.com,o-o.preferred.lhr14s07.v22.lscache2.c.youtube.com,,,,,,o-o.preferred.lhr14s07.v22.lscache2.c.youtube.com,,,,2025-12-05T11:12:03.946022
scan-a7f3edde-6ea4-4935-81bd-96895667229b,youtube.com,o-o.preferred.lhr14s07.v7.lscache2.c.youtube.com,,,,,,o-o.preferred.lhr14s07.v7.lscache2.c.youtube.com,,,,2025-12-05T11:12:03.946022
scan-a7f3edde-6ea4-4935-81bd-96895667229b,youtube.com,o-o.preferred.lhr14s07.v9.lscache4.c.youtube.com,,,,,,o-o.preferred.lhr14s07.v9.lscache4.c.youtube.com,,,,2025-12-05T11:12:03.946022
